"Category","Product","Code","Photo option/model","Photo required","Suggested PNG filename"
"Agri Tools","Tata Agrico AG Series Powrah","HOE Series","Tata Agrico - HOE002 - Powrah - AG 3","YES - model/option PNG","tata-agrico-powrah-ag--hoe002-powrah-ag-3.png"
"Agri Tools","Tata Agrico AG Series Powrah","HOE Series","Tata Agrico - HOE003 - Powrah - AG 4","YES - model/option PNG","tata-agrico-powrah-ag--hoe003-powrah-ag-4.png"
"Agri Tools","Tata Agrico AG Series Powrah","HOE Series","Tata Agrico - HOE004 - Powrah - AG 5","YES - model/option PNG","tata-agrico-powrah-ag--hoe004-powrah-ag-5.png"
"Agri Tools","Tata Agrico AG Series Powrah","HOE Series","Tata Agrico - HOE005 - Powrah - AG 6","YES - model/option PNG","tata-agrico-powrah-ag--hoe005-powrah-ag-6.png"
"Agri Tools","Tata Agrico Axe","AXE Series","Tata Agrico - AXE001 - Axe - 0.9","YES - model/option PNG","tata-agrico-axe--axe001-axe-0-9.png"
"Agri Tools","Tata Agrico Axe","AXE Series","Tata Agrico - AXE003 - Axe - 1.4","YES - model/option PNG","tata-agrico-axe--axe003-axe-1-4.png"
"Agri Tools","Tata Agrico Axe","AXE Series","Tata Agrico - AXE006 - Axe - 0.5","YES - model/option PNG","tata-agrico-axe--axe006-axe-0-5.png"
"Agri Tools","Tata Agrico Chaff & Thresher Cutter","CFC Series","Tata Agrico - CFC001 - Chaff Cutter - CC1","YES - model/option PNG","tata-agrico-chaff-cutter--cfc001-chaff-cutter-cc1.png"
"Agri Tools","Tata Agrico Chaff & Thresher Cutter","CFC Series","Tata Agrico - CFC002 - Thresher Cutter - CC2","YES - model/option PNG","tata-agrico-chaff-cutter--cfc002-thresher-cutter-cc2.png"
"Agri Tools","Tata Agrico Chaff & Thresher Cutter","CFC Series","Tata Agrico - CFC003 - Chaff Cutter - CC3","YES - model/option PNG","tata-agrico-chaff-cutter--cfc003-chaff-cutter-cc3.png"
"Agri Tools","Tata Agrico Chisel","CHE Series","Tata Agrico - CHE001 - Chisel - 22mm (22X325)","YES - model/option PNG","tata-agrico-chisel--che001-chisel-22mm-22x325.png"
"Agri Tools","Tata Agrico Chisel","CHE Series","Tata Agrico - CHE002 - Chisel - 25mm (25X325)","YES - model/option PNG","tata-agrico-chisel--che002-chisel-25mm-25x325.png"
"Agri Tools","Tata Agrico Chisel","CHE Series","Tata Agrico - CHE003 - Chisel - 29mm (29X325)","YES - model/option PNG","tata-agrico-chisel--che003-chisel-29mm-29x325.png"
"Agri Tools","Tata Agrico Chisel","CHE Series","Tata Agrico - CHE004 - Chisel - 32mm","YES - model/option PNG","tata-agrico-chisel--che004-chisel-32mm.png"
"Agri Tools","Tata Agrico Chisel","CHE Series","Tata Agrico - CHE005 - Chisel - 22 mm with point end tip","YES - model/option PNG","tata-agrico-chisel--che005-chisel-22-mm-with-point-end-tip.png"
"Agri Tools","Tata Agrico Chisel","CHE Series","Tata Agrico - CHE007 - Chisel - 22 X 152 mm","YES - model/option PNG","tata-agrico-chisel--che007-chisel-22-x-152-mm.png"
"Agri Tools","Tata Agrico Chisel","CHE Series","Tata Agrico - CHE008 - Chisel - 22 x 228 mm","YES - model/option PNG","tata-agrico-chisel--che008-chisel-22-x-228-mm.png"
"Agri Tools","Tata Agrico Chisel","CHE Series","Tata Agrico - CHE009 - Chisel - 25 x 152 mm","YES - model/option PNG","tata-agrico-chisel--che009-chisel-25-x-152-mm.png"
"Agri Tools","Tata Agrico Chisel","CHE Series","Tata Agrico - CHE010 - Chisel - 25 x 228 mm","YES - model/option PNG","tata-agrico-chisel--che010-chisel-25-x-228-mm.png"
"Agri Tools","Tata Agrico Chisel","CHE Series","Tata Agrico - CHE011 - Chisel - 29 x 152 mm","YES - model/option PNG","tata-agrico-chisel--che011-chisel-29-x-152-mm.png"
"Agri Tools","Tata Agrico Chisel","CHE Series","Tata Agrico - CHE012 - Chisel - 29 x 228 mm","YES - model/option PNG","tata-agrico-chisel--che012-chisel-29-x-228-mm.png"
"Agri Tools","Tata Agrico Chisel","CHE Series","Tata Agrico - CHE013 - Chisel - 32 x 152 mm","YES - model/option PNG","tata-agrico-chisel--che013-chisel-32-x-152-mm.png"
"Agri Tools","Tata Agrico Chisel Point Pickaxe & Kudali","PKX Series","Tata Agrico - PKX003 - Kudali - 10 CP","YES - model/option PNG","tata-agrico-pickaxe-chisel-point--pkx003-kudali-10-cp.png"
"Agri Tools","Tata Agrico Chisel Point Pickaxe & Kudali","PKX Series","Tata Agrico - PKX005 - Kudali - 11 CP","YES - model/option PNG","tata-agrico-pickaxe-chisel-point--pkx005-kudali-11-cp.png"
"Agri Tools","Tata Agrico Chisel Point Pickaxe & Kudali","PKX Series","Tata Agrico - PKX007 - Kudali - 12 CP","YES - model/option PNG","tata-agrico-pickaxe-chisel-point--pkx007-kudali-12-cp.png"
"Agri Tools","Tata Agrico Chisel Point Pickaxe & Kudali","PKX Series","Tata Agrico - PKX009 - Kudali - 14 CP","YES - model/option PNG","tata-agrico-pickaxe-chisel-point--pkx009-kudali-14-cp.png"
"Agri Tools","Tata Agrico Chisel Point Pickaxe & Kudali","PKX Series","Tata Agrico - PKX013 - Kudali - 16 CP","YES - model/option PNG","tata-agrico-pickaxe-chisel-point--pkx013-kudali-16-cp.png"
"Agri Tools","Tata Agrico Chisel Point Pickaxe & Kudali","PKX Series","Tata Agrico - PKX016 - Kudali - 14 CP Super","YES - model/option PNG","tata-agrico-pickaxe-chisel-point--pkx016-kudali-14-cp-super.png"
"Agri Tools","Tata Agrico Chisel Point Pickaxe & Kudali","PKX Series","Tata Agrico - PKX018 - Pickaxe - 9 CP","YES - model/option PNG","tata-agrico-pickaxe-chisel-point--pkx018-pickaxe-9-cp.png"
"Agri Tools","Tata Agrico Chisel Point Pickaxe & Kudali","PKX Series","Tata Agrico - PKX021 - Pickaxe - Integrated 10 CP","YES - model/option PNG","tata-agrico-pickaxe-chisel-point--pkx021-pickaxe-integrated-10-cp.png"
"Agri Tools","Tata Agrico Crowbar","CWB Series","Tata Agrico - CWB001 - Crow Bar - 22 (22X1650)","YES - model/option PNG","tata-agrico-crowbar--cwb001-crow-bar-22-22x1650.png"
"Agri Tools","Tata Agrico Crowbar","CWB Series","Tata Agrico - CWB002 - Crow Bar - 25 (25X1650)","YES - model/option PNG","tata-agrico-crowbar--cwb002-crow-bar-25-25x1650.png"
"Agri Tools","Tata Agrico Crowbar","CWB Series","Tata Agrico - CWB003 - Crow Bar - 29 (29X1650)","YES - model/option PNG","tata-agrico-crowbar--cwb003-crow-bar-29-29x1650.png"
"Agri Tools","Tata Agrico Crowbar","CWB Series","Tata Agrico - CWB004 - Crow Bar - 32 (32X1650)","YES - model/option PNG","tata-agrico-crowbar--cwb004-crow-bar-32-32x1650.png"
"Agri Tools","Tata Agrico Crowbar","CWB Series","Tata Agrico - CWB014 - Crow Bar - 22 (22X1220) - 4 FT","YES - model/option PNG","tata-agrico-crowbar--cwb014-crow-bar-22-22x1220-4-ft.png"
"Agri Tools","Tata Agrico Crowbar","CWB Series","Tata Agrico - CWB015 - Crow Bar - 25 (25X1220) - 4 FT","YES - model/option PNG","tata-agrico-crowbar--cwb015-crow-bar-25-25x1220-4-ft.png"
